"state","puma12","puma2k","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma12","puma2k","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","07507","02207",-122.411882,37.722388,109400,1,1 
"06","08101","02301",-122.474544,37.668746,137229,0.999505,0.99997 
"06","08102","02301",-122.436346,37.671193,4,0.000034,0.000029 
"06","08101","02302",-122.454125,37.650769,68,0.000495,0.000579 
"06","08102","02302",-122.430658,37.648735,117376,0.999966,0.999148 
"06","08103","02302",-122.405672,37.613164,32,0.000307,0.000272 
"06","08103","02303",-122.356161,37.578551,104209,0.99953,1 
"06","08103","02304",-122.332104,37.545408,17,0.000163,0.000143 
"06","08104","02304",-122.326624,37.525009,118633,0.999402,0.999856 
"06","08104","02305",-122.271985,37.532184,71,0.000598,0.000558 
"06","08105","02305",-122.254665,37.494005,127245,1,0.999442 
"06","08106","02306",-122.185351,37.455299,113567,1,1 
"06","00101","02401",-122.273939,37.873001,131119,1,1 
"06","00102","02402",-122.259797,37.810066,158091,1,1 
"06","00103","02403",-122.211711,37.811064,125220,0.999928,1 
"06","00104","02404",-122.190464,37.764938,124571,0.999703,0.999992 
"06","00105","02404",-122.170143,37.731871,1,6E-6,8E-6 
"06","00104","02405",-122.180804,37.725686,37,0.000297,0.000226 
"06","00105","02405",-122.200996,37.73419,163533,0.999994,0.999774 
"06","00103","02406",-122.163981,37.80158,9,0.000072,0.000067 
"06","00106","02406",-122.094041,37.691512,134752,1,0.999933 
"06","00107","02407",-122.076025,37.644562,145655,1,1 
"06","00108","02408",-122.042322,37.567673,135402,1,1 
"06","00109","02409",-121.975623,37.542074,189764,1,1 
"06","00110","02410",-121.836133,37.686574,202117,1,1 
"06","09901","02500",-120.989479,37.607125,108,0.000951,0.000535 
"06","09902","02500",-121.022071,37.660979,96138,0.811647,0.476176 
"06","09903","02500",-121.047203,37.700363,270,0.001551,0.001337 
"06","09904","02500",-120.958074,37.665706,105380,0.972777,0.521952 
"06","09901","02601",-120.951719,37.594729,58687,0.516806,0.355113 
"06","09902","02601",-120.992265,37.611393,11746,0.099166,0.071075 
"06","09903","02601",-120.848252,37.519893,94830,0.544627,0.573812 
