czone,cty_fips,cty_pop,cty_labf
15700,39141,69330,28942
13300,39143,61963,30182
15700,39145,80327,28780
13300,39147,59733,28494
12501,39149,44915,22643
15000,39151,367585,17748
15200,39153,514990,25362
16400,39155,227813,10725
15000,39157,84090,38803
15900,39159,31969,15709
13400,39161,30464,15167
15700,39163,11098,4324
12701,39165,113909,57608
15300,39167,62254,29074
15000,39169,101461,50482
13502,39171,36956,19261
13501,39173,113269,59212
13300,39175,22254,11005
30200,40001,18421,7674
30502,40003,6416,2727
33901,40005,12778,4879
31004,40007,6023,2922
33801,40009,18812,8189
30502,40011,11470,5048
33902,40013,32089,13787
33802,40015,29550,11855
33803,40017,74409,38150
33700,40019,42919,19023
30200,40021,34049,14630
34002,40023,15302,5704
31006,40025,3301,1612
33803,40027,174253,93742
33901,40029,5780,2382
33601,40031,111486,57240
33601,40033,6651,2761
30402,40035,14104,6224
30402,40037,60915,28316
33801,40039,26897,13237
30300,40041,28070,11483
30502,40043,5551,2295
30501,40045,4497,2088
30502,40047,56735,27264
33700,40049,26605,11326
33802,40051,41747,19001
30502,40053,5689,2475
33602,40055,6559,2406
33602,40057,3793,1439
30501,40059,4063,1950
30100,40061,10940,4078
33901,40063,13023,5063
33602,40065,28764,13513
33601,40067,7010,2818
33700,40069,10032,3968
30402,40071,48056,22427
33803,40073,13212,6234
33602,40075,11347,4708
30100,40077,10333,3911
30100,40079,43270,17807
33803,40081,29216,12814
33803,40083,29011,13388
33700,40085,8157,3485
33803,40087,22795,10816
34002,40089,33433,13500
30200,40091,16779,6501
30502,40093,8055,3604
33700,40095,10829,4326
30402,40097,33366,14360
33700,40099,12042,5206
30200,40101,68078,28361
30401,40103,11045,5132
29403,40105,9992,4330
30403,40107,11551,4235
33803,40109,599611,30775
30403,40111,36490,14800
30402,40113,41645,18634
29901,40115,30561,13039
30402,40117,15575,7111
30401,40119,61507,30130
30100,40121,40581,16516
33901,40123,34119,15570
33803,40125,58760,26421
34002,40127,10997,4302
33801,40129,4147,1851
30402,40131,55170,27241
33803,40133,25412,10060
30100,40135,33828,14840
33601,40137,42299,17999
31006,40139,16419,8116
33603,40141,10384,4330
30402,40143,503341,26046
30402,40145,47883,23461
29403,40147,48066,22275
33801,40149,11441,4994
30502,40151,9103,4318
30501,40153,18976,8764
39201,41001,15317,6655
38901,41003,70811,35019
38801,41005,278850,14758
38700,41007,33301,15872
38801,41009,37557,17358
36902,41011,60273,25966
39203,41013,14111,6409
36901,41015,19327,7760
39203,41017,74958,37767
36902,41019,94649,41227
39204,41021,1717,807
39205,41023,7853,3781
36502,41025,7060,3380
38802,41027,16903,8461
36800,41029,146389,67850
39203,41031,13676,6075
36800,41033,62649,25727
36501,41035,57702,26560
36503,41037,7186,3467
38901,41039,282912,13989
38902,41041,38889,17500
38901,41043,91227,42852
35802,41045,26038,11621
38901,41047,228483,10852
39100,41049,7625,3571
38801,41051,583887,31132
38901,41053,49541,22981
38802,41055,1918,827
38902,41057,21570,9001
39100,41059,59249,28016
39201,41061,23598,10787
39202,41063,6911,3239
38802,41065,21683,9719
38801,41067,311554,17200
39204,41069,1396,560
38901,41071,65551,30555
19200,42001,78274,41834
16300,42003,1336449,64702
16300,42005,73478,31203
16300,42007,186093,82722
16200,42009,47919,21787
19100,42011,336523,17441
16200,42013,130542,59309
18900,42015,60967,28032
19700,42017,541174,29648
16300,42019,152013,72982
16200,42021,163029,66022
18202,42023,5913,2578
19000,42025,56846,26044
16100,42027,123786,61452
19700,42029,376396,20492
16500,42031,41699,18014
16100,42033,78097,34587
18900,42035,37182,16894
18800,42037,63202,30634
16500,42039,86169,39219
19200,42041,195257,10578
19200,42043,237813,12658
19700,42045,547651,27948
18202,42047,34878,16181
16500,42049,275572,13220
16300,42051,145351,56861
16500,42053,4802,1939
17400,42055,121082,62590
17400,42057,13837,6525
16300,42059,39550,15400
16100,42061,44164,18962
16300,42063,89994,38681
16100,42065,46083,19968
19200,42067,20625,10184
18800,42069,219039,10335
19100,42071,422822,22237
16400,42073,96246,41228
19100,42075,113744,59342
19000,42077,291130,15162
18800,42079,328149,15258
18900,42081,118710,56439
18201,42083,47131,21262
16400,42085,121003,53755
19200,42087,46197,21287
18800,42089,95709,47851
19700,42091,678111,37130
18700,42093,17735,8598
19000,42095,247105,12336
18700,42097,96771,44818
19200,42099,41172,20958
19700,42101,1585577,72738
18800,42103,27966,13275
18201,42105,16717,7293
19100,42107,152585,68567
18700,42109,36680,17969
16200,42111,78218,34183
18900,42113,6104,2534
17900,42115,40380,18668
18100,42117,41126,18510
18700,42119,36176,16351
16500,42121,59381,25960
16500,42123,45050,21459
16300,42125,204584,90694
18800,42127,39944,18437
16300,42129,370321,17089
18800,42131,28076,13518
19200,42133,339574,18456
20401,44001,48859,26179
20401,44003,161135,88259
20401,44005,87194,48879
20401,44007,596270,30744
20401,44009,110006,59350
8300,45001,23862,11341
8401,45003,120940,58635
8201,45005,11722,4463
8300,45007,145196,74225
8201,45009,16902,7186
8201,45011,20293,9596
8800,45013,86425,45426
8202,45015,128776,63257
8100,45017,12753,5994
8202,45019,295039,15559
700,45021,44506,22720
900,45023,32170,15447
1301,45025,38577,18643
