"state","puma12","county","stab","cntyname","PUMAname","pop10","afact","AFACT2"
"FIPS state","puma12","county","State Postal Code","cntyname","PUMA12 Name","Total Pop, 2010 census","puma12 to county alloc factor","county to puma12 alloc factor"
"06","08513","06085","CA","Santa Clara CA","Santa Clara County (Central)--San Jose City (Southeast/Evergreen)",108883,1,0.061 
"06","08514","06085","CA","Santa Clara CA","Santa Clara County (Central)--San Jose City (East Central/East Valley)",103349,1,0.058 
"06","08701","06087","CA","Santa Cruz CA","Santa Cruz County (North)--Watsonville & Scotts Valley Cities",141949,1,0.541 
"06","08702","06087","CA","Santa Cruz CA","Santa Cruz County (South & Coastal)--Santa Cruz City",120433,1,0.459 
"06","08900","06089","CA","Shasta CA","Shasta County--Redding City",177223,1,1 
"06","09501","06095","CA","Solano CA","Solano County (Southwest)--Vallejo & Benicia Cities",144838,1,0.35 
"06","09502","06095","CA","Solano CA","Solano County (Central)--Fairfield & Suisun City Cities",138815,1,0.336 
"06","09503","06095","CA","Solano CA","Solano County (Northeast)--Vacaville & Dixon Cities",129691,1,0.314 
"06","09701","06097","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities",179083,1,0.37 
"06","09702","06097","CA","Sonoma CA","Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities",120153,1,0.248 
"06","09703","06097","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City",184642,1,0.382 
"06","09901","06099","CA","Stanislaus CA","Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities",113557,1,0.221 
"06","09902","06099","CA","Stanislaus CA","Stanislaus County (Central)--Modesto City (West)",118448,1,0.23 
"06","09903","06099","CA","Stanislaus CA","Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities",174119,1,0.338 
"06","09904","06099","CA","Stanislaus CA","Stanislaus County (Central)--Modesto City (East)",108329,1,0.211 
"06","10100","06101","CA","Sutter CA","Sutter & Yuba Counties--Yuba City",94737,0.568,1 
"06","10100","06115","CA","Yuba CA","Sutter & Yuba Counties--Yuba City",72155,0.432,1 
"06","10701","06107","CA","Tulare CA","Tulare County (Northwest)--Visalia City",135978,1,0.308 
"06","10702","06107","CA","Tulare CA","Tulare County (West Central)--Tulare & Porterville Cities",149481,1,0.338 
"06","10703","06107","CA","Tulare CA","Tulare County (Outside Visalia, Tulare & Porterville Cities)",156720,1,0.354 
"06","11101","06111","CA","Ventura CA","Ventura County (Southeast)--Simi Valley City",113229,1,0.138 
"06","11102","06111","CA","Ventura CA","Ventura County (Southeast)--Thousand Oaks City",150075,1,0.182 
"06","11103","06111","CA","Ventura CA","Ventura County (Southwest)--Oxnard & Port Hueneme Cities",195386,1,0.237 
"06","11104","06111","CA","Ventura CA","Ventura County (Southwest)--San Buenaventura (Ventura) City",119372,1,0.145 
"06","11105","06111","CA","Ventura CA","Ventura County (North)--Santa Paula, Fillmore & Ojai Cities",119708,1,0.145 
"06","11106","06111","CA","Ventura CA","Ventura County (South Central)--Camarillo & Moorpark Cities",125548,1,0.152 
"06","11300","06113","CA","Yolo CA","Yolo County--Davis, Woodland & West Sacramento Cities",200849,1,1 
