"","Year","czonename","Per_MF2","Per_MF24","Per_MF34","Per_MF5","Per_SFH"
"366",1989,"Yuma, AZ Metro El Centro Metro",8,70,62,227,474
"367",1990,"Yuma, AZ Metro El Centro Metro",4,75,71,512,500
"368",1991,"Yuma, AZ Metro El Centro Metro",10,36,26,73,680
"369",1992,"Yuma, AZ Metro El Centro Metro",4,69,65,100,832
"370",1993,"Yuma, AZ Metro El Centro Metro",10,47,37,50,529
"371",1994,"Yuma, AZ Metro El Centro Metro",12,60,48,136,658
"372",1995,"Yuma, AZ Metro El Centro Metro",6,43,37,107,347
"373",1996,"Yuma, AZ Metro El Centro Metro",8,30,22,0,301
"374",1997,"Yuma, AZ Metro El Centro Metro",2,19,17,40,268
"375",1998,"Yuma, AZ Metro El Centro Metro",2,9,7,58,327
"376",1999,"Yuma, AZ Metro El Centro Metro",0,6,6,0,327
"377",2000,"Yuma, AZ Metro El Centro Metro",2,5,3,129,543
"378",2001,"Yuma, AZ Metro El Centro Metro",6,26,20,172,558
"379",2002,"Yuma, AZ Metro El Centro Metro",12,38,26,186,838
"380",2003,"Yuma, AZ Metro El Centro Metro",8,30,22,204,977
"381",2004,"Yuma, AZ Metro El Centro Metro",12,41,29,786,1330
"382",2005,"Yuma, AZ Metro El Centro Metro",16,57,41,195,2722
"383",2006,"Yuma, AZ Metro El Centro Metro",10,60,50,159,1631
"384",2007,"Yuma, AZ Metro El Centro Metro",14,35,21,374,670
"385",2008,"Yuma, AZ Metro El Centro Metro",0,8,8,223,233
"386",2009,"Yuma, AZ Metro El Centro Metro",2,6,4,6,183
"387",2010,"Yuma, AZ Metro El Centro Metro",0,0,0,0,102
"388",2011,"Yuma, AZ Metro El Centro Metro",2,2,0,128,144
"389",2012,"Yuma, AZ Metro El Centro Metro",0,0,0,124,215
"390",2013,"Yuma, AZ Metro El Centro Metro",0,0,0,0,326
"391",2014,"Yuma, AZ Metro El Centro Metro",2,5,3,54,177
"392",2015,"Yuma, AZ Metro El Centro Metro",2,6,4,86,107
"393",1988,NA,28,95,67,78,816
"394",1989,NA,46,66,20,230,788
"395",1990,NA,40,160,120,66,963
"396",1991,NA,10,18,8,0,771
"397",1992,NA,10,43,33,0,806
"398",1993,NA,12,52,40,8,530
"399",1994,NA,44,103,59,0,643
"400",1995,NA,66,85,19,68,482
"401",1996,NA,6,14,8,62,499
"402",1997,NA,2,22,20,20,475
"403",1998,NA,52,77,25,0,458
"404",1999,NA,20,56,36,75,534
"405",2000,NA,4,64,60,82,641
"406",2001,NA,2,12,10,241,663
"407",2002,NA,16,27,11,6,778
"408",2003,NA,40,76,36,182,906
"409",2004,NA,36,90,54,189,990
"410",2005,NA,22,54,32,516,1048
"411",2006,NA,30,45,15,103,732
"412",2007,NA,14,26,12,0,525
"413",2008,NA,8,22,14,80,296
"414",2009,NA,4,7,3,0,174
"415",2010,NA,0,0,0,38,165
"416",2011,NA,4,4,0,56,191
"417",2012,NA,16,19,3,1,87
"418",2013,NA,2,6,4,4,97
"419",2014,NA,2,2,0,0,105
"420",2015,NA,6,16,10,0,167
