"","HHTYPE","Housing14Total","Housing24Total","Housing34Total","HousingCh_1424","HousingCh_2434","HousingChPct_1424","HousingChPct_2434"
"1","mf_owner",285472,296854.982275921,304473.390296518,11382.9822759207,7618.40802059748,0.038,0.025
"2","mf_renter",2668192,2720665.82479893,2754507.6666237,52473.8247989328,33841.8418247639,0.019,0.012
"3","sf_owner",4510805,4668864.08451517,4771002.68005175,158059.084515166,102138.595536581,0.034,0.021
"4","sf_renter",1722990,1762699.10840998,1787121.26302804,39709.108409981,24422.1546180567,0.023,0.014
