"","czone","HHTYPE","HH24new","HH34new","czonename","name"
"46","38100","mf_renter",1156.2358495506,22481.5052191984,"Yuma, AZ Metro El Centro Metro","Yuma, AZ Metro "
"47","38100","sf_owner",5097.5140943772,87698.9195538315,"Yuma, AZ Metro El Centro Metro","Yuma, AZ Metro "
"48","38100","sf_renter",1809.19144951477,36544.8315530282,"Yuma, AZ Metro El Centro Metro","Yuma, AZ Metro "
"49","38200","mf_owner",471.593119001061,4285.06550775884,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","Santa Barbara, "
"50","38200","mf_renter",4843.52597096885,55946.3955361625,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","Santa Barbara, "
"51","38200","sf_owner",12753.0076215569,123204.481386204,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","Santa Barbara, "
"52","38200","sf_renter",6333.87328847316,71634.0575698742,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","Santa Barbara, "
"53","38300","mf_owner",17302.9458912663,-64204.849992798,"Los Angeles-Long Beach-Glendale, CA Metro Division","Los Angeles-Lon"
"54","38300","mf_renter",162386.524400822,-649442.321394768,"Los Angeles-Long Beach-Glendale, CA Metro Division","Los Angeles-Lon"
"55","38300","sf_owner",345262.301710183,-1307648.74771228,"Los Angeles-Long Beach-Glendale, CA Metro Division","Los Angeles-Lon"
"56","38300","sf_renter",113277.227997729,-452239.080900153,"Los Angeles-Long Beach-Glendale, CA Metro Division","Los Angeles-Lon"
